# ME requirements of ewes during lactation (MJ ME/d).
#
# Source: Beef + Lamb New Zealand, "Making every mating count", Appendix 3.4.
# https://beeflambnz.com/sites/default/files/2026-06/Making-every-mating-count.pdf
# Read 2026-08-18; SHA-256 in sources.toml.
#
# Lactation is not implemented in the model, so nothing consumes this yet. It is
# recorded now because the source was open and a table read is cheaper than a
# table found again.
#
# Two things the brief that prompted this work omitted are here: the lamb pasture
# requirement row, and the source's note (2), "For triplets or quads add 1.0, 2.0
# and 4.0 MJ ME/d for weeks 3, 6 and 9 respectively".
ewe_liveweight_kg,litter_size,week_postpartum,me_mj_per_day,status,source_id
40,1,1,12.0,direct,blnz_mating
40,1,3,23.0,direct,blnz_mating
40,1,6,20.0,direct,blnz_mating
40,1,9,18.5,direct,blnz_mating
45,1,1,21.0,direct,blnz_mating
45,1,3,24.0,direct,blnz_mating
45,1,6,21.0,direct,blnz_mating
45,1,9,19.5,direct,blnz_mating
50,1,1,24.5,direct,blnz_mating
50,1,3,28.5,direct,blnz_mating
50,1,6,24.5,direct,blnz_mating
50,1,9,20.5,direct,blnz_mating
55,1,1,25.0,direct,blnz_mating
55,1,3,29.0,direct,blnz_mating
55,1,6,25.0,direct,blnz_mating
55,1,9,21.5,direct,blnz_mating
60,1,1,26.0,direct,blnz_mating
60,1,3,30.0,direct,blnz_mating
60,1,6,26.0,direct,blnz_mating
60,1,9,22.0,direct,blnz_mating
65,1,1,27.0,direct,blnz_mating
65,1,3,31.0,direct,blnz_mating
65,1,6,27.0,direct,blnz_mating
65,1,9,23.0,direct,blnz_mating
70,1,1,28.0,direct,blnz_mating
70,1,3,32.0,direct,blnz_mating
70,1,6,28.0,direct,blnz_mating
70,1,9,24.0,direct,blnz_mating
40,2,1,23.0,direct,blnz_mating
40,2,3,26.0,direct,blnz_mating
40,2,6,23.0,direct,blnz_mating
40,2,9,20.0,direct,blnz_mating
45,2,1,24.0,direct,blnz_mating
45,2,3,27.0,direct,blnz_mating
45,2,6,24.0,direct,blnz_mating
45,2,9,21.0,direct,blnz_mating
50,2,1,28.5,direct,blnz_mating
50,2,3,32.0,direct,blnz_mating
50,2,6,28.5,direct,blnz_mating
50,2,9,22.0,direct,blnz_mating
55,2,1,29.0,direct,blnz_mating
55,2,3,33.0,direct,blnz_mating
55,2,6,29.0,direct,blnz_mating
55,2,9,23.0,direct,blnz_mating
60,2,1,30.0,direct,blnz_mating
60,2,3,34.0,direct,blnz_mating
60,2,6,30.0,direct,blnz_mating
60,2,9,24.0,direct,blnz_mating
65,2,1,31.0,direct,blnz_mating
65,2,3,35.0,direct,blnz_mating
65,2,6,31.0,direct,blnz_mating
65,2,9,25.0,direct,blnz_mating
70,2,1,32.0,direct,blnz_mating
70,2,3,36.0,direct,blnz_mating
70,2,6,32.0,direct,blnz_mating
70,2,9,26.0,direct,blnz_mating
