# ME requirements of ewe hoggets (MJ ME/d).
#
# Source: Beef + Lamb New Zealand, "Making every mating count", Appendix 3.3.
# https://beeflambnz.com/sites/default/files/2026-06/Making-every-mating-count.pdf
# Read 2026-08-18; SHA-256 in sources.toml.
#
# See blnz_mature_ewe_me.csv on what these tables measure.
liveweight_kg,liveweight_gain_g_per_day,me_mj_per_day,status,source_id
25,0,8.0,direct,blnz_mating
30,0,9.0,direct,blnz_mating
35,0,10.0,direct,blnz_mating
40,0,11.0,direct,blnz_mating
45,0,12.0,direct,blnz_mating
25,50,10.0,direct,blnz_mating
30,50,11.5,direct,blnz_mating
35,50,13.0,direct,blnz_mating
40,50,14.0,direct,blnz_mating
45,50,15.5,direct,blnz_mating
25,100,12.5,direct,blnz_mating
30,100,14.0,direct,blnz_mating
35,100,16.0,direct,blnz_mating
40,100,17.5,direct,blnz_mating
45,100,19.0,direct,blnz_mating
25,150,14.5,direct,blnz_mating
30,150,17.0,direct,blnz_mating
35,150,19.0,direct,blnz_mating
40,150,21.0,direct,blnz_mating
45,150,23.0,direct,blnz_mating
25,200,17.0,direct,blnz_mating
30,200,19.5,direct,blnz_mating
35,200,22.0,direct,blnz_mating
40,200,24.5,direct,blnz_mating
45,200,26.5,direct,blnz_mating
