date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s
2000-07-01,0.0,6.1,10.5,5.2,3.58
2000-07-02,0.1,1.9,8.8,5.21,2.34
2000-07-03,0.8,4.5,6.7,1.79,4.04
2000-07-04,0.2,2.4,7.0,4.47,2.88
2000-07-05,0.0,-0.9,7.8,6.37,4.12
2000-07-06,0.2,-0.1,8.7,3.57,2.82
2000-07-07,0.1,4.3,9.9,4.71,4.61
2000-07-08,0.0,4.8,10.0,4.4,5.46
2000-07-09,0.0,4.1,9.6,7.03,5.02
2000-07-10,0.0,1.5,11.7,7.19,3.23
2000-07-11,0.0,0.8,14.5,7.46,2.94
2000-07-12,0.0,3.3,13.5,7.07,2.88
2000-07-13,0.0,0.6,12.5,7.81,2.83
2000-07-14,0.0,-2.6,13.1,8.19,3.1
2000-07-15,0.0,0.1,10.8,7.02,4.83
2000-07-16,0.0,1.1,8.9,6.38,2.8
2000-07-17,0.0,2.5,8.5,4.26,2.33
2000-07-18,0.0,4.6,9.2,3.27,2.3
2000-07-19,0.5,-0.6,9.3,6.96,1.92
2000-07-20,1.5,3.5,13.2,6.5,5.67
2000-07-21,0.1,6.3,15.2,6.36,4.95
2000-07-22,0.0,3.9,14.3,8.04,3.26
2000-07-23,1.5,0.7,10.5,6.33,4.42
2000-07-24,0.5,0.7,11.1,6.26,3.39
2000-07-25,0.0,2.4,13.5,8.46,2.95
2000-07-26,2.1,5.2,15.1,7.74,6.85
2000-07-27,15.9,10.1,15.5,5.84,7.65
2000-07-28,0.0,4.0,12.5,9.37,6.29
2000-07-29,0.0,-1.6,9.6,9.33,2.6
2000-07-30,0.0,-0.3,12.8,9.23,3.26
2000-07-31,0.0,0.4,10.4,8.07,5.59
2000-08-01,0.0,-1.5,8.0,8.25,2.77
2000-08-02,0.0,-0.2,8.3,9.28,2.78
2000-08-03,0.0,-4.1,9.4,10.26,2.78
2000-08-04,0.0,-4.2,10.9,10.58,2.94
2000-08-05,0.1,-0.6,9.1,5.51,4.27
2000-08-06,0.0,-3.6,11.8,10.46,3.41
2000-08-07,0.0,-0.5,11.2,9.87,3.99
2000-08-08,0.0,-0.3,12.5,10.49,3.22
2000-08-09,0.0,0.9,15.6,10.87,3.37
2000-08-10,0.0,3.4,15.4,6.94,6.72
2000-08-11,0.0,5.3,12.3,9.56,7.42
2000-08-12,0.0,1.3,10.7,10.77,6.13
2000-08-13,0.2,-1.4,13.6,11.15,5.32
2000-08-14,0.0,-0.3,11.9,11.33,3.08
2000-08-15,0.0,-2.9,12.4,12.02,5.73
2000-08-16,0.6,0.7,13.7,8.55,2.64
2000-08-17,8.4,3.5,12.5,4.06,3.26
2000-08-18,30.0,6.7,9.6,1.23,6.5
2000-08-19,27.2,6.9,9.1,1.87,6.52
2000-08-20,0.4,4.2,10.2,5.91,4.69
2000-08-21,4.3,2.8,7.1,3.18,4.83
2000-08-22,0.2,0.5,6.3,10.95,4.46
2000-08-23,0.0,-2.1,7.8,12.6,3.16
2000-08-24,0.0,-4.8,8.9,13.41,2.5
