date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s
2015-07-01,0.0,4.2,9.2,3.05,4.0
2015-07-02,0.0,2.1,12.3,6.74,6.44
2015-07-03,2.0,5.0,11.6,3.32,7.08
2015-07-04,0.2,0.7,9.9,7.09,5.96
2015-07-05,0.0,0.8,12.6,6.22,5.56
2015-07-06,0.0,0.5,8.7,7.33,4.46
2015-07-07,0.1,-2.2,4.8,5.93,4.84
2015-07-08,3.4,-0.4,5.7,5.31,9.98
2015-07-09,9.2,2.6,4.6,3.24,8.19
2015-07-10,1.8,-2.6,6.5,4.72,6.31
2015-07-11,0.0,-4.7,6.5,6.75,2.06
2015-07-12,0.0,-5.8,7.4,7.75,3.75
2015-07-13,0.0,-4.7,8.1,7.73,4.05
2015-07-14,0.0,-2.6,10.1,7.06,7.32
2015-07-15,5.8,7.7,12.8,3.36,7.52
2015-07-16,1.6,4.6,8.7,2.97,4.24
2015-07-17,0.0,1.3,9.6,4.2,3.2
2015-07-18,5.5,-0.2,6.6,2.78,10.26
2015-07-19,0.0,1.6,8.3,5.64,10.89
2015-07-20,0.5,-2.0,7.8,5.33,9.94
2015-07-21,0.0,0.6,10.4,2.96,6.35
2015-07-22,0.0,-0.8,11.1,7.14,3.82
2015-07-23,0.0,0.5,11.4,8.04,4.24
2015-07-24,0.6,3.4,11.7,8.02,4.19
2015-07-25,0.0,3.3,12.8,8.7,6.76
2015-07-26,0.0,5.9,15.3,7.16,8.95
2015-07-27,0.2,3.8,13.6,3.11,6.28
2015-07-28,1.5,6.4,11.4,7.84,5.55
2015-07-29,1.6,1.6,9.1,6.8,10.56
2015-07-30,0.0,-0.5,8.8,9.27,4.34
2015-07-31,0.0,-1.3,12.0,8.77,3.8
2015-08-01,0.9,2.9,8.8,3.65,4.39
2015-08-02,0.1,4.7,12.6,5.46,7.25
2015-08-03,0.0,7.5,17.9,8.16,7.42
2015-08-04,1.5,6.1,16.2,8.38,7.5
2015-08-05,0.0,0.8,10.6,10.27,5.91
2015-08-06,0.0,-1.1,11.8,9.29,4.24
2015-08-07,9.6,2.0,9.8,7.27,5.87
2015-08-08,7.1,1.4,6.4,7.47,6.52
2015-08-09,5.0,-1.9,5.4,9.11,6.44
2015-08-10,3.6,0.5,5.3,5.72,5.97
2015-08-11,0.1,-0.2,7.6,8.39,3.01
2015-08-12,0.0,-2.6,7.4,8.11,4.89
2015-08-13,0.0,2.5,12.0,10.65,6.3
2015-08-14,0.2,8.5,12.2,7.84,8.91
2015-08-15,3.7,8.0,10.1,1.92,6.16
2015-08-16,4.8,5.1,8.2,2.74,7.78
2015-08-17,0.0,0.9,13.9,12.06,5.03
2015-08-18,0.2,5.1,14.2,9.12,7.43
2015-08-19,0.0,3.7,11.5,10.55,5.03
2015-08-20,0.0,2.6,10.3,11.8,4.54
