date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s,uv_index
2023-07-01,1.5,-0.3,9.5,6.55,6.44,0.85
2023-07-02,0.0,0.9,8.5,6.8,8.46,0.85
2023-07-03,16.3,2.8,9.5,5.27,10.19,0.85
2023-07-04,0.0,1.8,15.0,6.97,5.36,1.0
2023-07-05,0.0,1.8,13.4,7.33,3.98,1.15
2023-07-06,1.2,1.0,9.1,4.3,4.86,0.95
2023-07-07,0.0,1.8,10.1,6.06,8.43,1.15
2023-07-08,7.7,5.0,11.1,3.08,7.71,0.85
2023-07-09,19.8,8.5,12.5,2.27,9.38,0.65
2023-07-10,0.0,3.8,11.6,6.08,2.52,0.75
2023-07-11,0.0,4.4,11.0,5.15,5.33,0.95
2023-07-12,1.8,1.1,8.5,2.87,9.0,0.7
2023-07-13,0.1,1.7,10.7,5.59,4.48,0.85
2023-07-14,0.5,5.5,14.2,7.36,6.02,1.05
2023-07-15,0.0,3.8,14.0,7.57,4.68,1.1
2023-07-16,0.6,4.6,14.5,3.6,6.61,0.7
2023-07-17,0.0,3.2,15.1,7.79,4.48,1.15
2023-07-18,0.0,7.6,16.4,7.16,5.95,1.25
2023-07-19,0.0,7.9,16.0,7.93,6.28,1.15
2023-07-20,2.4,6.2,10.7,1.43,7.12,0.2
2023-07-21,0.0,1.8,9.5,6.5,4.41,0.9
2023-07-22,40.8,1.3,7.3,2.23,9.82,0.4
2023-07-23,32.0,6.9,10.7,0.92,6.88,0.15
2023-07-24,5.6,6.7,10.9,3.62,7.47,0.85
2023-07-25,2.3,3.0,12.9,8.11,6.52,1.25
2023-07-26,0.0,2.6,9.7,8.14,6.95,1.15
2023-07-27,0.6,3.2,11.4,7.61,9.82,1.05
2023-07-28,1.1,3.5,10.0,7.02,8.92,0.9
2023-07-29,0.0,0.5,10.0,8.76,3.68,1.35
2023-07-30,0.0,0.0,10.8,9.23,4.97,1.5
2023-07-31,0.0,3.3,15.8,9.06,6.14,1.6
2023-08-01,4.8,6.8,14.6,8.27,12.89,1.35
2023-08-02,3.0,5.0,8.7,8.41,10.87,1.2
2023-08-03,0.0,4.1,8.9,2.89,7.85,0.3
2023-08-04,0.1,1.1,12.6,9.53,8.49,1.4
2023-08-05,0.4,5.1,9.4,4.31,5.33,0.8
2023-08-06,0.0,5.5,12.1,9.52,4.46,1.45
