date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s
2015-07-01,0.0,8.0,14.0,6.98,7.18
2015-07-02,0.0,4.6,13.4,6.51,2.21
2015-07-03,6.4,6.0,15.0,6.21,7.52
2015-07-04,9.4,11.1,13.5,2.31,3.63
2015-07-05,0.0,9.4,13.6,7.43,9.13
2015-07-06,0.7,10.7,14.4,7.7,6.34
2015-07-07,20.1,9.4,13.9,4.26,9.01
2015-07-08,3.0,3.0,9.0,4.4,5.36
2015-07-09,0.0,1.9,7.7,10.12,6.93
2015-07-10,0.0,0.3,9.8,9.84,4.61
2015-07-11,0.0,-2.6,9.3,10.47,3.24
2015-07-12,0.0,-4.2,10.2,10.06,2.82
2015-07-13,0.0,-2.9,11.2,10.42,3.11
2015-07-14,0.1,0.4,13.0,6.9,7.02
2015-07-15,16.0,9.5,14.0,3.95,6.95
2015-07-16,0.2,8.6,14.7,8.36,5.95
2015-07-17,0.4,6.2,13.5,7.84,5.1
2015-07-18,18.3,5.3,14.5,3.31,10.16
2015-07-19,0.1,4.2,10.8,9.98,9.08
2015-07-20,0.3,4.8,12.2,7.29,9.16
2015-07-21,0.0,3.6,12.5,11.04,6.03
2015-07-22,0.0,3.3,13.5,11.02,3.72
2015-07-23,0.0,-1.5,12.1,10.34,2.61
2015-07-24,0.0,3.3,12.1,6.59,5.1
2015-07-25,0.2,1.6,12.7,8.0,5.02
2015-07-26,3.9,7.2,13.7,3.25,4.11
2015-07-27,3.5,9.3,14.5,2.68,6.3
2015-07-28,15.9,8.9,13.5,7.84,7.07
2015-07-29,6.6,6.0,12.3,9.58,6.82
2015-07-30,0.0,1.9,10.9,11.88,5.11
2015-07-31,0.0,1.3,11.9,7.26,3.77
2015-08-01,0.2,5.1,13.3,7.06,5.4
2015-08-02,2.9,7.5,15.3,8.36,4.02
2015-08-03,0.8,9.1,15.5,6.83,5.33
2015-08-04,6.7,12.1,15.8,7.79,7.16
2015-08-05,17.0,7.9,12.8,2.15,5.28
2015-08-06,8.8,10.2,14.3,9.76,8.13
2015-08-07,10.3,8.6,11.6,9.13,8.01
2015-08-08,6.8,4.2,10.5,10.75,7.86
2015-08-09,4.8,3.0,10.5,9.85,2.95
2015-08-10,0.9,0.4,10.2,11.23,3.61
2015-08-11,0.0,-3.0,9.9,12.02,5.36
2015-08-12,0.0,-0.6,10.8,12.64,5.32
2015-08-13,0.0,-2.6,12.0,13.29,3.05
2015-08-14,10.6,5.9,13.1,3.12,7.78
2015-08-15,2.6,6.3,13.4,10.09,3.16
2015-08-16,0.0,3.1,13.9,9.88,4.24
2015-08-17,0.0,3.6,13.7,12.94,3.28
2015-08-18,2.0,4.3,14.0,8.37,6.65
2015-08-19,5.8,8.7,14.0,5.62,7.56
2015-08-20,0.1,5.7,13.2,12.83,6.85
2015-08-21,0.0,0.7,12.8,14.66,2.25
2015-08-22,0.0,2.4,11.6,4.69,1.94
2015-08-23,0.3,6.4,14.0,9.52,3.81
2015-08-24,0.3,5.7,14.8,11.85,5.08
2015-08-25,13.2,8.5,13.4,2.43,7.24
2015-08-26,0.0,4.9,14.3,14.64,4.94
2015-08-27,0.0,2.0,13.4,14.39,2.75
2015-08-28,0.0,2.2,13.9,11.1,2.56
2015-08-29,1.6,1.1,14.0,9.95,4.11
2015-08-30,6.9,9.9,16.4,8.1,5.37
2015-08-31,26.8,7.5,13.0,2.33,7.91
