date,rainfall_mm,min_air_temperature_c,max_air_temperature_c,solar_radiation_mj_per_m2,wind_speed_m_per_s,uv_index
2023-07-01,2.7,8.0,12.9,7.15,9.3,1.35
2023-07-02,6.6,8.3,12.7,6.6,10.31,1.0
2023-07-03,1.4,8.6,13.6,4.12,11.9,1.1
2023-07-04,0.0,11.3,15.3,7.35,10.3,1.35
2023-07-05,0.0,11.9,14.9,5.56,8.65,1.4
2023-07-06,0.0,5.1,14.6,8.49,4.19,1.8
2023-07-07,1.8,3.7,14.5,5.99,9.09,1.4
2023-07-08,19.6,8.4,15.3,4.2,10.12,1.2
2023-07-09,0.4,7.6,14.4,4.59,6.47,1.1
2023-07-10,0.5,7.7,15.0,8.22,4.53,1.4
2023-07-11,0.6,9.0,14.5,8.19,6.86,1.55
2023-07-12,4.2,9.6,14.8,7.19,7.69,1.7
2023-07-13,0.1,10.8,14.7,7.93,9.33,1.4
2023-07-14,0.6,12.0,15.3,7.26,8.38,1.35
2023-07-15,0.1,12.2,15.6,8.47,7.02,1.5
2023-07-16,1.8,12.1,16.1,7.4,8.91,1.75
2023-07-17,1.0,10.0,14.7,8.94,8.25,1.55
2023-07-18,0.0,7.9,15.3,8.34,6.48,1.5
2023-07-19,0.0,7.2,15.1,9.07,4.1,1.55
2023-07-20,0.1,5.1,14.8,8.31,8.13,1.5
2023-07-21,20.3,11.1,13.2,2.77,11.65,0.95
2023-07-22,0.0,5.6,13.7,10.39,7.88,2.05
2023-07-23,0.0,3.3,12.8,9.98,5.41,1.9
2023-07-24,0.1,3.2,14.3,7.31,3.01,1.55
2023-07-25,1.1,3.6,14.4,7.67,7.79,1.6
2023-07-26,2.2,4.0,11.7,10.55,9.53,1.75
2023-07-27,2.7,1.5,13.0,7.31,8.16,1.3
2023-07-28,0.0,1.6,12.9,10.64,8.27,1.5
2023-07-29,0.0,1.1,12.6,11.08,4.34,2.0
2023-07-30,0.0,2.5,11.8,8.09,2.2,1.55
2023-07-31,0.7,3.4,12.7,3.27,2.92,1.15
2023-08-01,1.5,8.6,15.4,8.4,6.78,1.8
2023-08-02,8.9,5.3,12.7,8.23,11.37,1.35
2023-08-03,0.0,1.3,11.3,12.18,7.42,2.15
2023-08-04,0.0,-0.2,14.0,10.98,6.47,1.8
2023-08-05,0.0,4.6,16.0,11.84,2.69,2.3
2023-08-06,0.2,4.5,15.0,10.9,4.37,2.0
2023-08-07,0.1,5.5,14.3,8.0,5.25,1.4
2023-08-08,4.7,5.4,12.7,7.06,5.5,1.85
2023-08-09,0.7,4.2,12.2,10.65,6.07,2.15
2023-08-10,7.3,5.3,11.9,7.83,5.8,1.65
2023-08-11,0.0,1.7,11.9,13.01,6.09,2.75
2023-08-12,0.3,2.8,12.7,6.07,3.73,1.45
2023-08-13,0.5,5.3,14.8,9.55,3.32,2.1
2023-08-14,8.5,6.6,14.7,6.21,5.24,1.3
2023-08-15,0.2,3.2,13.7,11.82,5.63,2.0
2023-08-16,2.2,4.6,13.7,11.87,7.93,2.1
2023-08-17,0.2,5.7,13.2,12.89,6.31,2.85
2023-08-18,0.3,1.6,13.7,13.15,4.03,2.5
2023-08-19,3.7,3.1,13.1,4.73,7.47,1.3
2023-08-20,21.7,10.2,13.4,3.67,6.51,1.55
2023-08-21,2.6,9.0,14.5,12.62,7.23,2.55
2023-08-22,0.0,4.8,14.3,15.66,6.5,3.4
2023-08-23,0.0,0.7,12.9,15.53,2.82,3.55
2023-08-24,0.0,2.8,12.6,12.96,2.73,2.7
2023-08-25,0.0,1.6,13.3,13.59,2.22,2.85
2023-08-26,0.1,3.6,13.6,12.92,4.21,2.65
2023-08-27,0.6,5.3,15.0,12.11,7.26,2.55
2023-08-28,0.2,3.6,13.6,13.7,3.62,2.55
2023-08-29,0.0,1.2,13.4,16.89,2.67,3.25
2023-08-30,0.0,1.3,14.5,15.2,2.59,3.25
2023-08-31,0.0,3.3,14.2,13.9,2.57,3.45
2023-09-01,0.0,1.8,15.9,16.54,2.94,3.85
2023-09-02,0.0,3.7,16.8,14.09,4.58,2.45
2023-09-03,0.0,9.1,16.9,14.53,7.52,2.4
2023-09-04,1.0,11.3,15.4,9.99,10.0,2.0
2023-09-05,9.5,13.3,15.9,5.35,9.91,2.45
2023-09-06,1.5,12.5,18.1,10.14,6.03,3.25
2023-09-07,7.5,9.2,16.8,6.35,3.3,1.85
2023-09-08,0.0,4.4,18.5,16.04,4.08,3.85
2023-09-09,0.0,5.9,17.4,15.72,3.76,3.4
2023-09-10,1.1,5.0,16.7,15.62,4.85,3.5
2023-09-11,19.6,9.4,17.1,11.41,7.69,3.15
2023-09-12,0.4,7.6,15.1,16.26,6.48,3.55
2023-09-13,0.1,7.5,15.3,15.19,8.99,3.3
2023-09-14,0.1,8.4,14.6,14.32,8.69,2.7
2023-09-15,2.9,7.1,14.3,15.58,9.36,3.75
2023-09-16,0.0,4.1,16.2,17.34,4.9,4.55
2023-09-17,0.0,8.4,16.3,15.94,8.89,4.9
2023-09-18,0.3,11.6,17.2,16.56,9.52,4.6
2023-09-19,0.0,7.4,17.3,19.93,5.08,5.5
2023-09-20,0.0,9.4,19.9,18.41,5.26,5.2
2023-09-21,0.0,7.6,21.9,18.94,4.42,4.85
2023-09-22,2.1,12.9,19.6,13.68,6.96,4.3
2023-09-23,31.9,14.4,18.1,7.31,9.84,2.65
2023-09-24,7.4,12.6,17.6,10.5,5.99,2.75
2023-09-25,8.8,11.6,17.2,11.33,8.05,4.25
2023-09-26,7.3,9.9,16.0,8.15,6.44,3.1
2023-09-27,0.6,9.5,14.7,15.44,9.42,3.75
2023-09-28,7.4,10.2,14.1,16.25,8.05,3.25
2023-09-29,2.1,9.8,14.6,17.17,10.88,3.05
2023-09-30,14.8,5.1,13.9,16.55,10.08,3.7
2023-10-01,0.2,3.6,14.5,14.27,9.36,3.15
2023-10-02,8.9,12.7,17.2,14.89,10.38,4.75
2023-10-03,0.0,6.5,14.3,19.82,6.87,5.85
2023-10-04,0.0,1.7,16.4,24.28,5.81,6.35
2023-10-05,0.0,4.9,18.0,22.38,4.96,5.45
2023-10-06,0.3,10.1,17.1,14.48,5.0,3.15
2023-10-07,9.1,9.1,15.4,4.5,6.9,1.7
2023-10-08,5.0,6.9,15.8,17.65,3.92,4.25
2023-10-09,0.1,5.8,16.0,22.11,8.05,5.7
2023-10-10,0.0,11.4,16.1,19.84,9.3,5.0
2023-10-11,0.6,9.3,15.8,22.76,7.29,5.7
2023-10-12,0.2,10.0,15.2,15.28,9.87,3.8
2023-10-13,0.4,9.7,16.9,14.37,5.32,3.7
2023-10-14,3.2,8.9,17.2,9.24,7.13,3.4
2023-10-15,1.6,12.6,18.1,19.02,8.67,5.65
2023-10-16,0.0,8.9,20.1,23.63,4.47,6.6
2023-10-17,1.1,13.6,21.1,18.13,7.1,5.25
2023-10-18,3.3,13.6,21.2,18.62,3.76,4.75
2023-10-19,0.0,11.1,22.0,20.04,3.07,5.85
2023-10-20,0.3,11.3,21.7,18.41,2.22,4.45
2023-10-21,0.0,10.5,21.9,24.83,5.5,5.7
2023-10-22,4.7,8.8,20.5,22.72,5.2,6.4
2023-10-23,0.3,10.6,19.3,20.22,3.98,5.9
2023-10-24,2.7,13.5,20.0,18.83,5.91,5.65
2023-10-25,10.1,14.1,19.2,19.31,8.94,7.3
2023-10-26,2.2,12.1,19.7,16.86,10.28,6.1
2023-10-27,3.2,8.8,16.7,12.04,9.87,5.2
2023-10-28,0.0,4.7,17.0,24.03,3.82,6.1
2023-10-29,0.4,7.4,16.4,23.53,9.38,5.1
2023-10-30,9.6,11.4,16.6,9.3,11.81,1.9
2023-10-31,12.7,15.2,20.0,17.41,8.36,3.85
2023-11-01,1.2,12.4,22.3,21.9,5.89,6.15
2023-11-02,1.1,10.5,20.4,21.89,4.34,6.35
2023-11-03,13.2,11.7,16.7,5.81,6.3,3.35
2023-11-04,1.3,11.3,20.0,23.43,5.28,6.5
2023-11-05,0.2,10.2,19.4,21.16,5.31,5.75
2023-11-06,0.4,9.6,19.6,26.29,4.41,6.45
2023-11-07,2.9,9.1,17.4,20.44,4.36,5.6
2023-11-08,6.5,9.2,18.3,27.99,7.36,7.3
2023-11-09,0.6,8.4,18.6,26.23,4.96,6.7
2023-11-10,0.0,9.6,19.8,26.19,3.61,8.05
2023-11-11,0.0,9.9,21.0,25.83,4.83,7.35
2023-11-12,0.1,7.2,19.3,27.62,6.22,8.5
2023-11-13,0.0,9.8,19.1,27.31,6.17,9.0
2023-11-14,1.5,8.1,19.8,17.83,6.39,5.4
2023-11-15,0.4,12.5,19.4,21.95,6.15,8.75
2023-11-16,0.3,11.6,19.7,18.95,5.3,5.7
2023-11-17,9.4,11.2,21.1,12.48,10.21,5.4
2023-11-18,21.2,16.1,18.3,5.2,5.27,1.85
2023-11-19,34.1,15.9,19.4,10.64,9.1,2.5
2023-11-20,31.9,15.4,22.6,16.39,7.01,6.45
2023-11-21,4.0,14.6,23.7,23.6,4.78,8.3
2023-11-22,1.4,13.6,23.8,25.53,3.62,8.45
2023-11-23,0.4,13.1,21.1,25.43,6.37,8.75
2023-11-24,1.6,10.8,17.9,25.17,8.1,8.25
2023-11-25,0.0,9.4,19.2,26.81,8.06,6.15
2023-11-26,0.0,8.6,20.7,27.46,7.78,7.7
2023-11-27,0.0,7.4,18.5,25.44,6.36,7.05
2023-11-28,2.3,11.3,19.0,14.21,9.67,5.55
2023-11-29,0.4,10.6,19.0,25.78,6.09,8.2
2023-11-30,0.0,10.1,17.9,19.82,4.96,5.55
2023-12-01,0.0,7.9,21.5,23.05,3.37,7.4
2023-12-02,0.2,14.5,20.0,18.91,7.52,6.25
2023-12-03,14.2,15.0,18.8,5.95,7.3,3.9
2023-12-04,3.8,16.3,22.6,16.34,4.81,6.7
2023-12-05,11.3,14.5,20.5,11.76,5.11,4.5
2023-12-06,2.4,13.1,21.5,22.11,6.1,7.6
2023-12-07,0.4,11.4,20.1,21.52,7.75,6.75
2023-12-08,0.0,10.7,21.2,31.69,4.12,8.45
2023-12-09,0.0,10.0,21.8,28.04,6.01,7.5
2023-12-10,1.0,11.4,20.1,15.12,7.13,6.35
2023-12-11,1.1,11.2,21.7,22.13,5.57,7.05
2023-12-12,0.7,10.4,17.9,21.32,10.94,6.25
2023-12-13,0.0,12.1,17.6,20.8,10.74,5.5
2023-12-14,0.0,12.6,19.8,27.45,9.27,7.55
2023-12-15,0.2,12.5,19.4,20.69,6.31,4.9
2023-12-16,0.1,11.5,22.2,23.86,5.16,7.75
2023-12-17,0.1,11.7,23.2,28.42,5.83,10.65
2023-12-18,1.2,17.0,23.2,14.71,5.5,7.8
2023-12-19,3.5,16.8,24.3,23.52,3.58,8.0
2023-12-20,0.3,14.7,25.6,20.87,4.47,9.5
2023-12-21,0.0,14.1,25.5,24.07,4.08,7.7
2023-12-22,0.2,15.3,25.1,15.81,5.16,8.4
2023-12-23,0.1,17.1,26.9,22.4,6.52,7.95
2023-12-24,40.4,19.5,23.7,9.73,5.15,7.65
2023-12-25,20.0,19.2,23.6,13.49,6.4,3.35
2023-12-26,17.9,17.9,24.7,25.16,6.7,8.8
2023-12-27,0.2,16.3,25.6,24.76,6.01,8.35
2023-12-28,2.0,15.9,23.4,20.67,6.57,9.15
2023-12-29,25.6,17.5,24.0,11.95,7.0,6.0
2023-12-30,10.9,17.8,24.8,29.56,7.28,9.85
2023-12-31,17.2,17.8,24.0,9.99,8.29,6.55
2024-01-01,0.3,12.3,21.2,32.74,7.2,11.15
2024-01-02,0.0,9.4,20.3,24.58,4.18,10.75
2024-01-03,0.1,10.6,21.6,23.7,3.73,8.45
2024-01-04,0.4,11.5,22.5,27.22,3.31,9.5
2024-01-05,2.6,13.8,21.9,15.4,3.91,5.7
2024-01-06,0.9,13.7,23.3,26.95,4.6,10.45
2024-01-07,0.0,13.3,25.2,27.1,5.47,7.7
2024-01-08,1.0,17.8,24.5,22.98,3.75,9.1
2024-01-09,0.5,17.1,24.2,19.94,3.38,7.8
2024-01-10,0.1,15.7,26.2,29.11,5.27,9.1
2024-01-11,0.0,15.5,25.7,25.49,4.05,8.45
2024-01-12,0.0,15.5,25.8,27.14,4.98,9.5
2024-01-13,0.0,15.4,26.1,29.24,4.27,10.65
2024-01-14,0.0,15.5,27.4,26.22,5.0,8.5
2024-01-15,38.3,18.7,23.1,6.99,4.82,3.1
2024-01-16,2.8,15.5,24.8,25.77,6.02,7.95
2024-01-17,4.3,16.6,25.8,20.34,5.19,8.65
2024-01-18,1.1,18.4,25.8,22.97,5.8,9.1
2024-01-19,7.0,18.4,26.3,18.71,6.8,8.45
2024-01-20,1.7,19.1,26.1,19.94,4.61,6.95
2024-01-21,0.0,17.8,27.8,28.4,6.02,9.3
2024-01-22,5.7,19.4,27.8,22.75,5.38,9.65
2024-01-23,5.5,16.8,25.2,21.95,7.6,7.6
2024-01-24,0.0,13.5,21.9,25.36,6.05,9.2
2024-01-25,0.1,13.4,23.8,26.81,5.32,8.6
2024-01-26,0.0,11.9,24.4,29.02,3.81,9.75
2024-01-27,3.0,14.4,22.0,9.72,6.41,4.5
2024-01-28,39.6,15.2,23.0,7.2,10.41,6.0
2024-01-29,0.1,14.5,24.0,27.58,5.71,8.75
2024-01-30,0.8,16.3,27.2,25.43,6.31,9.85
2024-01-31,0.0,15.8,27.9,27.7,4.7,9.8
2024-02-01,0.0,14.2,23.7,30.18,7.47,10.8
2024-02-02,4.3,16.9,23.1,15.67,10.54,7.5
2024-02-03,6.4,15.4,18.1,21.5,12.09,7.8
2024-02-04,0.0,10.7,21.1,24.39,6.66,9.3
2024-02-05,0.0,10.3,23.1,29.04,4.25,12.05
2024-02-06,0.1,12.3,24.9,22.33,4.79,10.55
2024-02-07,0.0,12.9,24.7,27.98,4.33,10.6
2024-02-08,0.0,11.9,24.8,28.73,4.74,11.85
2024-02-09,0.4,15.5,25.7,20.63,6.08,8.9
2024-02-10,1.1,15.3,25.1,20.43,6.0,5.3
2024-02-11,0.1,13.9,22.0,26.92,6.55,9.4
2024-02-12,0.0,10.4,23.9,28.89,5.07,8.65
2024-02-13,0.0,10.7,22.4,24.41,3.34,7.75
